out: 0, 600, 1170, 1190, -7768, -15173, 1170, 1170
time   261, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   262, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   263, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   264, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   265, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   266, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   267, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   268, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   269, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   270, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   271, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   272, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
time   273, ready 0, out1      0, out2    600, out3   1170, out4   1190, out5  -7768, out6 -15173, out7   1170, out8      0
